[2025-07-27 16:21:27.279] [info] Using configuration file /home/dxth/.config/waybar/config.jsonc
[2025-07-27 16:21:27.279] [info] Including resource file: ~/.config/waybar/modules.json
[2025-07-27 16:21:27.279] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.portal.Desktop was not provided by any .service files
[2025-07-27 16:21:27.279] [info] Using CSS file /home/dxth/.config/waybar/style.css
[2025-07-27 16:21:27.282] [info] Hyprland IPC starting
[2025-07-27 16:21:27.282] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.294] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1440, height: 42) for output: DP-3
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1920, height: 42) for output: HDMI-A-1
[2025-07-28 11:33:29.654] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:33:29.654] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 72 not found
[2025-07-28 11:34:24.048] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.048] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.053] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.053] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.055] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.055] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.055] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:34:24.055] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.176] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.176] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.179] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.179] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.182] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.182] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.182] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:37:17.182] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.073] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.073] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.076] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.076] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.078] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.078] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.078] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:39:49.078] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.350] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.350] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.354] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.354] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.356] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.356] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.357] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:40:22.357] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.249] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.249] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.253] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.253] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.255] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.255] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.255] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.255] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.989] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.989] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.992] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.992] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.995] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.995] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.995] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:01.995] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.418] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.418] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.421] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.421] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.423] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.423] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.423] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:06.424] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.918] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.918] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.921] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.921] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.923] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.923] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.923] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:07.923] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:12.226] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
[2025-07-28 11:44:12.226] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 67 not found
